Timestamp,X,Y,Z
0,-0.46655273,0.8125,-0.33666992
0.02,-0.46313477,0.81811523,-0.33666992
0.04,-0.46264648,0.8220215,-0.33862305
0.06,-0.46118164,0.82055664,-0.33813477
0.08,-0.45751953,0.82006836,-0.33691406
0.1,-0.4597168,0.8171387,-0.33447266
0.12,-0.46606445,0.8129883,-0.33422852
0.14,-0.46606445,0.81152344,-0.33618164
0.16,-0.46606445,0.8156738,-0.33911133
0.18,-0.47045898,0.81347656,-0.33325195
0.2,-0.4699707,0.8095703,-0.3322754
0.22,-0.47094727,0.8125,-0.33569336
0.24,-0.47485352,0.81103516,-0.33764648
0.26,-0.47729492,0.8066406,-0.33813477
0.279,-0.48168945,0.8105469,-0.33813477
0.299,-0.48510742,0.80371094,-0.3388672
0.319,-0.4855957,0.796875,-0.33740234
0.339,-0.4921875,0.7939453,-0.3388672
0.359,-0.4975586,0.79345703,-0.34179688
0.379,-0.49951172,0.79003906,-0.3388672
0.399,-0.50097656,0.79003906,-0.3400879
0.419,-0.5024414,0.7895508,-0.34057617
0.439,-0.50146484,0.79248047,-0.33740234
0.459,-0.5004883,0.7915039,-0.33740234
0.479,-0.4951172,0.79541016,-0.3334961
0.499,-0.48779297,0.7949219,-0.33447266
0.519,-0.48632813,0.79589844,-0.3330078
0.539,-0.48388672,0.80371094,-0.33496094
0.559,-0.47827148,0.80566406,-0.33813477
0.579,-0.47045898,0.80908203,-0.3371582
0.599,-0.4645996,0.810791,-0.34106445
0.619,-0.4621582,0.8132324,-0.33911133
0.639,-0.45947266,0.8166504,-0.33813477
0.659,-0.4621582,0.8249512,-0.33544922
0.679,-0.46313477,0.82592773,-0.33398438
0.699,-0.45874023,0.8244629,-0.33544922
0.719,-0.45410156,0.8190918,-0.34033203
0.739,-0.45922852,0.8186035,-0.33496094
0.759,-0.4650879,0.8161621,-0.33520508
0.779,-0.46801758,0.81884766,-0.33325195
0.799,-0.47143555,0.81689453,-0.33764648
0.819,-0.47143555,0.8132324,-0.34155273
0.839,-0.4724121,0.8076172,-0.3425293
0.859,-0.47631836,0.8041992,-0.33862305
0.879,-0.48266602,0.80371094,-0.3359375
0.899,-0.49072266,0.7988281,-0.33740234
0.919,-0.49169922,0.7919922,-0.33740234
0.939,-0.48999023,0.79296875,-0.33984375
0.959,-0.49121094,0.79345703,-0.3388672
0.979,-0.49658203,0.7944336,-0.33740234
0.999,-0.49414063,0.7949219,-0.33642578
1.019,-0.4946289,0.7949219,-0.3408203
1.039,-0.48901367,0.7944336,-0.3388672
1.059,-0.48461914,0.7973633,-0.3388672
1.079,-0.47875977,0.80078125,-0.33666992
1.099,-0.4777832,0.8071289,-0.33618164
1.119,-0.47387695,0.81152344,-0.3395996
1.139,-0.47143555,0.8105469,-0.33764648
1.158,-0.46655273,0.81274414,-0.3400879
1.178,-0.4621582,0.8161621,-0.3395996
1.198,-0.4597168,0.81811523,-0.33740234
1.218,-0.46069336,0.8190918,-0.33813477
1.238,-0.46313477,0.8186035,-0.33618164
1.258,-0.46313477,0.8117676,-0.33569336
1.278,-0.46850586,0.81347656,-0.33764648
1.298,-0.47192383,0.81347656,-0.33911133
1.318,-0.4753418,0.80810547,-0.33764648
1.338,-0.47924805,0.80566406,-0.33666992
1.358,-0.4802246,0.80859375,-0.3408203
1.378,-0.484375,0.8095703,-0.33422852
1.398,-0.48217773,0.8017578,-0.33740234
1.418,-0.48120117,0.7998047,-0.3388672
1.438,-0.48706055,0.80029297,-0.33984375
1.458,-0.48461914,0.7988281,-0.3388672
1.478,-0.48217773,0.8022461,-0.3413086
1.498,-0.48217773,0.80322266,-0.33740234
1.518,-0.47924805,0.80322266,-0.3371582
1.538,-0.47924805,0.8041992,-0.34033203
1.558,-0.47973633,0.8051758,-0.33813477
1.578,-0.4802246,0.80566406,-0.33764648
1.598,-0.4807129,0.8051758,-0.3388672
1.618,-0.4753418,0.8071289,-0.33569336
1.638,-0.46899414,0.80810547,-0.33911133
1.658,-0.46801758,0.81689453,-0.33422852
1.678,-0.4699707,0.8183594,-0.32983398
1.698,-0.46655273,0.8203125,-0.32910156
1.718,-0.4597168,0.8186035,-0.33398438
1.738,-0.44580078,0.82299805,-0.33642578
1.758,-0.44970703,0.8322754,-0.33691406
1.778,-0.4543457,0.8327637,-0.33691406
1.798,-0.46606445,0.8210449,-0.33325195
1.818,-0.48242188,0.79541016,-0.32348633
1.838,-0.4777832,0.80078125,-0.34277344
1.858,-0.4885254,0.79345703,-0.33984375
1.878,-0.49609375,0.7910156,-0.33984375
