,cohort,device,instrument,measurement_file,measurement_id,subject_id
0,cispd,smartwatch,accelerometer,cispd_smartwatch_accelerometer_1004_cc7b822c-e310-46f0-a8ea-98c95fdb67a1.csv,cc7b822c-e310-46f0-a8ea-98c95fdb67a1,1004
1,cispd,smartwatch,accelerometer,cispd_smartwatch_accelerometer_1004_5163afe8-a6b0-4ea4-b2ba-9b4501dd5912.csv,5163afe8-a6b0-4ea4-b2ba-9b4501dd5912,1004
2,cispd,smartwatch,accelerometer,cispd_smartwatch_accelerometer_1004_5cf68c8e-0b7a-4b73-ad4f-015c7a20fb5a.csv,5cf68c8e-0b7a-4b73-ad4f-015c7a20fb5a,1004
3,cispd,smartwatch,accelerometer,cispd_smartwatch_accelerometer_1004_fb188ae2-2173-4137-9236-19a137a402c2.csv,fb188ae2-2173-4137-9236-19a137a402c2,1004
4,cispd,smartwatch,accelerometer,cispd_smartwatch_accelerometer_1004_19a3e9ea-fce1-40b7-9457-2618970beb7b.csv,19a3e9ea-fce1-40b7-9457-2618970beb7b,1004
5,cispd,smartwatch,accelerometer,cispd_smartwatch_accelerometer_1004_e2973da8-1250-4a7c-98d5-b165570a8aeb.csv,e2973da8-1250-4a7c-98d5-b165570a8aeb,1004
6,cispd,smartwatch,accelerometer,cispd_smartwatch_accelerometer_1004_8548d34c-4771-4ca4-bee4-d47bde435bdc.csv,8548d34c-4771-4ca4-bee4-d47bde435bdc,1004
7,cispd,smartwatch,accelerometer,cispd_smartwatch_accelerometer_1004_0c579a72-bac5-46a2-8671-1a50620723bf.csv,0c579a72-bac5-46a2-8671-1a50620723bf,1004
8,cispd,smartwatch,accelerometer,cispd_smartwatch_accelerometer_1004_bb59d008-25fe-43cc-bf05-6bd6b874eea3.csv,bb59d008-25fe-43cc-bf05-6bd6b874eea3,1004
9,cispd,smartwatch,accelerometer,cispd_smartwatch_accelerometer_1004_4a1ca52c-2895-4094-bade-246fd474762f.csv,4a1ca52c-2895-4094-bade-246fd474762f,1004
10,cispd,smartwatch,accelerometer,cispd_smartwatch_accelerometer_1004_f53cfd9b-8c52-4d22-a35c-504542170ed3.csv,f53cfd9b-8c52-4d22-a35c-504542170ed3,1004
11,cispd,smartwatch,accelerometer,cispd_smartwatch_accelerometer_1004_dc90dc36-b4e5-43ec-b3e8-47c39c763c71.csv,dc90dc36-b4e5-43ec-b3e8-47c39c763c71,1004
12,cispd,smartwatch,accelerometer,cispd_smartwatch_accelerometer_1004_e31db4f8-f9a5-4273-a874-4bdbc6fcae2c.csv,e31db4f8-f9a5-4273-a874-4bdbc6fcae2c,1004
