Timestamp,X,Y,Z
0,-1.090332,-0.23779297,0.3955078
0.02,-1.2678223,-0.10205078,0.17285156
0.04,-1.185791,-0.08959961,0.017089844
0.06,-1.1762695,-0.07763672,-0.002197266
0.08,-1.2116699,-0.013671875,-0.079589844
0.1,-1.2265625,0.00390625,-0.02368164
0.12,-1.4204102,0.3425293,0.17138672
0.14,-1.4135742,0.6435547,0.40161133
0.16,-1.2380371,0.49438477,0.28320313
0.18,-1.0495605,0.40698242,0.25683594
0.2,-1.1962891,0.3947754,0.2446289
0.22,-1.1855469,0.2927246,0.19604492
0.24,-1.1982422,0.18457031,0.2541504
0.26,-1.2434082,0.12084961,0.3503418
0.28,-1.3205566,-0.009521484,0.23413086
0.3,-0.86816406,-0.34375,0.23071289
0.32,-0.6086426,-0.30737305,0.19946289
0.34,-0.7050781,-0.19067383,0.03173828
0.36,-0.8544922,-0.14208984,-0.018554688
0.38,-0.74121094,-0.08691406,0.009033203
0.4,-0.5307617,-0.046875,0.07763672
0.42,-0.47705078,-0.06567383,0.06274414
0.44,-0.5510254,-0.1262207,-0.004638672
0.46,-0.70996094,-0.2331543,-0.01977539
0.48,-0.83203125,-0.3293457,-0.125
0.5,-0.83935547,-0.43579102,-0.12646484
0.52,-0.8190918,-0.3581543,0.044677734
0.54,-0.9316406,-0.18383789,0.03149414
0.56,-1.1420898,0.009765625,-0.1772461
0.58,-1.3215332,0.2043457,-0.37158203
0.6,-1.2836914,0.42407227,-0.34057617
0.62,-1.2473145,0.37817383,-0.25561523
0.64,-1.3781738,0.2692871,-0.12915039
0.66,-1.4299316,0.23730469,-0.049072266
0.679,-1.3139648,0.24047852,-0.004638672
0.699,-1.1025391,0.38452148,0.0390625
0.719,-1.0727539,0.5319824,0.07080078
0.739,-1.1086426,0.29077148,0.17675781
0.759,-1.1513672,0.21948242,0.26953125
0.779,-1.284668,0.18798828,0.31713867
0.799,-1.3549805,0.10083008,0.4116211
0.819,-1.3173828,0.13305664,0.3918457
0.839,-1.2299805,0.12695313,0.32006836
0.859,-1.1193848,0.11743164,0.22875977
0.879,-0.89282227,0.07348633,0.091552734
0.899,-0.654541,0.0925293,0.068359375
0.919,-0.53759766,0.04638672,-0.004394531
0.939,-0.45043945,0.03149414,-0.080322266
